potential,N_A,N_B,m_A,m_B,T,rho,S_EX,eta,D_A,D_B,R,gamma
KA,5000.0,5000.0,1.0,1.0,2.0,1.45,-3.357646,5.913036447935629,0.05211562592688945,0.06538797708379472,0.979,5.089
KA,5000.0,5000.0,1.0,1.0,3.0,1.45,-2.93953,5.078621504369361,0.09299234202749587,0.11538799383914895,0.984,4.953
KA,5000.0,5000.0,1.0,1.0,4.0,1.45,-2.678807,4.765105233633271,0.1311656004250681,0.16405266086289272,0.987,4.872
KA,6668.0,3334.0,1.0,1.0,0.48,1.4,-6.441043,16580738.353542626,1.1117552257022872e-07,4.836672224245421e-07,0.959,5.202000000000001
KA,6668.0,3334.0,1.0,1.0,0.49,1.4,-6.39158,5362470.869075196,2.489226358168589e-07,1.0312566480261816e-06,0.945,5.2360000000000015
KA,6668.0,3334.0,1.0,1.0,0.5,1.4,-6.333815,2280174.81215377,4.7018879535326406e-07,1.7749131827318489e-06,0.948,5.167999999999998
KA,6668.0,3334.0,1.0,1.0,0.52,1.4,-6.242629,425903.1626542899,1.7858734469216919e-06,5.733784600454516e-06,0.955,5.257999999999999
KA,6668.0,3334.0,1.0,1.0,0.55,1.4,-6.116532,46231.85036600123,8.850167641468488e-06,2.345531324832738e-05,0.958,5.244
KA,6668.0,3334.0,1.0,1.0,0.6,1.4,-5.925346,3623.981719249333,6.398546664216899e-05,0.00013163744183141083,0.96,5.215
KA,6668.0,3334.0,1.0,1.0,0.7,1.4,-5.602195,296.9760703053875,0.0005580195646202969,0.000897151614140074,0.965,5.18
KA,6668.0,3334.0,1.0,1.0,0.8,1.4,-5.337843,94.41180008022405,0.001675272257505246,0.0024455763789858987,0.968,5.151
KA,6668.0,3334.0,1.0,1.0,1.0,1.4,-4.926876999999998,33.858786507353784,0.005236905013820199,0.0072888717370220065,0.973,5.097
KA,6668.0,3334.0,1.0,1.0,1.2,1.4,-4.617564,20.124045573488978,0.009948731566336692,0.01358043568342554,0.977,5.059
KA,6668.0,3334.0,1.0,1.0,1.4,1.4,-4.373235,15.079664062702458,0.015202169021168725,0.020556854261255347,0.979,5.008
KA,6668.0,3334.0,1.0,1.0,1.8,1.4,-4.005688,10.818049078277683,0.027134115856162586,0.03642611548516306,0.983,4.962
KA,6668.0,3334.0,1.0,1.0,2.0,1.4,-3.862077,9.835021376058325,0.03334071505207305,0.044956095623062485,0.984,4.937
KA,6668.0,3334.0,1.0,1.0,3.0,1.4,-3.361475,7.2714761469128835,0.06592419695937812,0.0890773769644796,0.988,4.848
KA,6668.0,3334.0,1.0,1.0,4.0,1.4,-3.051566,6.4109705291600525,0.10008274945642497,0.13426688212300406,0.991,4.783
KA,7500.0,2500.0,1.0,1.0,0.68,1.4,-6.3701089999999985,7693856.6918848865,1.6581995609490714e-07,8.840635782387422e-07,0.971,4.987
KA,7500.0,2500.0,1.0,1.0,0.7,1.4,-6.3010160000000015,3649217.0822690255,5.206953218148143e-07,2.446462683539401e-06,0.973,4.898
KA,7500.0,2500.0,1.0,1.0,0.73,1.4,-6.207833,372254.8437402325,1.9837930498031537e-06,7.955561311538563e-06,0.97,4.957
KA,7500.0,2500.0,1.0,1.0,0.75,1.4,-6.147796,154078.24091368087,4.52458552828274e-06,1.6547045269738254e-05,0.972,4.935
KA,7500.0,2500.0,1.0,1.0,0.8,1.4,-6.005535,15426.077736749978,2.6661173520897545e-05,7.482013084950401e-05,0.976,4.937
KA,7500.0,2500.0,1.0,1.0,0.9,1.4,-5.754258,1078.468164568048,0.00024416006401962797,0.0005140295919161341,0.977,4.921
KA,7500.0,2500.0,1.0,1.0,1.0,1.4,-5.5399910000000006,269.40432532227715,0.0008438385310150088,0.0015316377427120375,0.979,4.913
KA,7500.0,2500.0,1.0,1.0,1.2,1.4,-5.186303,73.79881353193359,0.00312035353642354,0.0051121948553584035,0.982,4.893
KA,7500.0,2500.0,1.0,1.0,1.4,1.4,-4.9063940000000015,39.448057690665976,0.00648159973410963,0.00998552170789792,0.984,4.873
KA,7500.0,2500.0,1.0,1.0,1.8,1.4,-4.484538,20.60522469236527,0.014815464833984585,0.02218798335703097,0.987,4.837
KA,7500.0,2500.0,1.0,1.0,2.0,1.4,-4.319792,17.170895488549206,0.019540095444162846,0.028915376918152626,0.988,4.8210000000000015
KA,820.0,204.0,1.0,1.0,0.42,1.204,-6.186984,187758.49932664848,2.580931104818585e-06,1.2994939217042985e-05,0.933,5.227
KA,820.0,204.0,1.0,1.0,0.44,1.204,-6.08895,38178.91952833893,9.044336086921043e-06,3.6659585073083286e-05,0.931,5.16
KA,820.0,204.0,1.0,1.0,0.5,1.204,-5.819846,1368.617510427146,0.0001272446900757132,0.0003368542407539895,0.94,5.1629999999999985
KA,820.0,204.0,1.0,1.0,0.54,1.204,-5.663105000000002,371.50226620423246,0.0003515341012871318,0.000859252650133912,0.944,5.162000000000001
KA,820.0,204.0,1.0,1.0,0.66,1.204,-5.27604,65.41591669972496,0.0018826161156261915,0.003546147047124336,0.954,5.152
KA,820.0,204.0,1.0,1.0,0.78,1.204,-4.9742739999999985,31.405894146444894,0.004295634519587959,0.007259853171370674,0.961,5.1370000000000005
KA,820.0,204.0,1.0,1.0,0.9,1.204,-4.730072,20.93886639992625,0.007230455660464469,0.011991733180534037,0.966,5.119
KA,820.0,204.0,1.0,1.0,1.02,1.204,-4.52683,15.123005433080316,0.010540269760949662,0.017445685314426213,0.969,5.101
KA,820.0,204.0,1.0,1.0,1.14,1.204,-4.354081,12.425165755405887,0.014177683061468375,0.02284280169721309,0.972,5.083
KA,820.0,204.0,1.0,1.0,1.26,1.204,-4.204809,10.735070147308098,0.01810082686129592,0.028365082146411463,0.975,5.064
KA,820.0,204.0,1.0,1.0,2.0,1.204,-3.586188,6.8223101326161695,0.04466022028150232,0.06807302316802358,0.983,4.968
KA,820.0,204.0,1.0,1.0,3.0,1.204,-3.12843,5.425138190690718,0.0827811071197919,0.12146280773301515,0.988,4.878
KA,820.0,204.0,1.0,1.0,4.0,1.204,-2.844935,4.8865113773534254,0.12124245718954085,0.1834551297929371,0.99,4.812
