# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
5.4500000000 -10.1680455439 2.0882583870 -8.0797871569 11.6680455439 -2.2127187333 9.4553268106
5.4000000000 -10.1542205612 2.0870788648 -8.0671416964 11.6542205612 -2.2193991749 9.4348213863
5.3500000000 -10.1402669722 2.0858154423 -8.0544515300 11.6402669722 -2.2259547032 9.4143122690
5.3000000000 -10.1261823617 2.0844649262 -8.0417174355 11.6261823617 -2.2328869532 9.3932954085
5.2500000000 -10.1119642458 2.0830239833 -8.0289402625 11.6119642458 -2.2396642520 9.3722999938
5.2000000000 -10.0976100692 2.0814891323 -8.0161209369 11.5976100692 -2.2468960845 9.3507139847
5.1500000000 -10.0831172029 2.0798567366 -8.0032604663 11.5831172029 -2.2540981026 9.3290191003
5.1000000000 -10.0684829405 2.0781229956 -7.9903599449 11.5684829405 -2.2612150127 9.3072679278
5.0500000000 -10.0537044958 2.0762839359 -7.9774205599 11.5537044958 -2.2685817847 9.2851227111
5.0000000000 -10.0387789995 2.0743354023 -7.9644435973 11.5387789995 -2.2760153860 9.2627636135
4.9500000000 -10.0237034957 2.0722730471 -7.9514304486 11.5237034957 -2.2836041276 9.2400993682
4.9000000000 -10.0084749385 2.0700923203 -7.9383826182 11.5084749385 -2.2911678486 9.2173070900
4.8500000000 -9.9930901883 2.0677884576 -7.9253017307 11.4930901883 -2.2989937666 9.1940964217
4.8000000000 -9.9775460077 2.0653564685 -7.9121895392 11.4775460077 -2.3068319651 9.1707140426
4.7500000000 -9.9618390579 2.0627911237 -7.8990479342 11.4618390579 -2.3148764132 9.1469626447
4.7000000000 -9.9459658939 2.0600869408 -7.8858789531 11.4459658939 -2.3228209796 9.1231449143
4.6500000000 -9.9299229603 2.0572381701 -7.8726847901 11.4299229603 -2.3311463264 9.0987766338
4.6000000000 -9.9137065861 2.0542387786 -7.8594678075 11.4137065861 -2.3394212425 9.0742853436
4.5500000000 -9.8973129803 2.0510824333 -7.8462305470 11.3973129803 -2.3479646170 9.0493483633
4.5000000000 -9.8807382260 2.0477624831 -7.8329757429 11.3807382260 -2.3564964947 9.0242417313
4.4500000000 -9.8639782751 2.0442719397 -7.8197063354 11.3639782751 -2.3651794353 8.9987988399
4.4000000000 -9.8470289423 2.0406034569 -7.8064254853 11.3470289423 -2.3740376349 8.9729913073
4.3500000000 -9.8298858985 2.0367493083 -7.7931365902 11.3298858985 -2.3829785021 8.9469073964
4.3000000000 -9.8125446649 2.0327013638 -7.7798433011 11.3125446649 -2.3922790728 8.9202655921
4.2500000000 -9.7950006053 2.0284510637 -7.7665495416 11.2950006053 -2.4014471502 8.8935534551
4.2000000000 -9.7772489188 2.0239893916 -7.7532595272 11.2772489188 -2.4107027134 8.8665462054
4.1500000000 -9.7592846322 2.0193068448 -7.7399777875 11.2592846322 -2.4204463818 8.8388382505
4.1000000000 -9.7411025914 2.0143934020 -7.7267091894 11.2411025914 -2.4300129631 8.8110896284
4.0500000000 -9.7226974525 2.0092384899 -7.7134589627 11.2226974525 -2.4400637259 8.7826337267
4.0000000000 -9.7040636725 2.0038309453 -7.7002327272 11.2040636725 -2.4501544011 8.7539092714
3.9500000000 -9.6851954992 1.9981589758 -7.6870365234 11.1851954992 -2.4604363704 8.7247591288
3.9000000000 -9.6660869606 1.9922101165 -7.6738768441 11.1660869606 -2.4706805381 8.6954064224
3.8500000000 -9.6467318533 1.9859711829 -7.6607606704 11.1467318533 -2.4815336396 8.6651982137
3.8000000000 -9.6271237310 1.9794282211 -7.6476955099 11.1271237310 -2.4922636479 8.6348600831
3.7500000000 -9.6072558908 1.9725664524 -7.6346894384 11.1072558908 -2.5032959226 8.6039599682
3.7000000000 -9.5871213603 1.9653702143 -7.6217511460 11.0871213603 -2.5142535718 8.5728677886
3.6500000000 -9.5667128823 1.9578228957 -7.6088899866 11.0667128823 -2.5259088788 8.5408040035
3.6000000000 -9.5460228991 1.9499068668 -7.5961160323 11.0460228991 -2.5373911863 8.5086317128
3.5500000000 -9.5250435361 1.9416034030 -7.5834401331 11.0250435361 -2.5493801075 8.4756634286
3.5000000000 -9.5037665836 1.9328926014 -7.5708739822 11.0037665836 -2.5614221693 8.4423444143
3.4500000000 -9.4821834774 1.9237532905 -7.5584301870 10.9821834774 -2.5736862580 8.4084972194
3.4000000000 -9.4602852783 1.9141629305 -7.5461223478 10.9602852783 -2.5863947952 8.3738904831
3.3500000000 -9.4380626496 1.9040975057 -7.5339651439 10.9380626496 -2.5991392242 8.3389234254
3.3000000000 -9.4155058336 1.8935314054 -7.5219744282 10.9155058336 -2.6120737075 8.3034321261
3.2500000000 -9.3926046254 1.8824372941 -7.5101673313 10.8926046254 -2.6254381276 8.2671664977
3.2000000000 -9.3693483456 1.8707859688 -7.4985623768 10.8693483456 -2.6393434894 8.2300048562
3.1500000000 -9.3457258101 1.8585462021 -7.4871796080 10.8457258101 -2.6531196726 8.1926061375
3.1000000000 -9.3217252981 1.8456845699 -7.4760407282 10.8217252981 -2.6673394514 8.1543858467
3.0500000000 -9.2973345168 1.8321652606 -7.4651692562 10.7973345168 -2.6818954650 8.1154390518
3.0000000000 -9.2725405639 1.8179498656 -7.4545906983 10.7725405639 -2.6968038657 8.0757366981
2.9500000000 -9.2473298864 1.8029971465 -7.4443327399 10.7473298864 -2.7120411218 8.0352887646
2.9000000000 -9.2216882364 1.7872627784 -7.4344254579 10.7216882364 -2.7273551454 7.9943330909
2.8500000000 -9.1956006223 1.7706990645 -7.4249015578 10.6956006223 -2.7436703100 7.9519303123
2.8000000000 -9.1690512566 1.7532546188 -7.4157966378 10.6690512566 -2.7596605232 7.9093907335
2.7500000000 -9.1420234984 1.7348740135 -7.4071494848 10.6420234984 -2.7765840659 7.8654394325
2.7000000000 -9.1144997904 1.7154973857 -7.3990024047 10.6144997904 -2.7937392642 7.8207605262
2.6500000000 -9.0864615909 1.6950599970 -7.3914015939 10.5864615909 -2.8111666126 7.7752949783
2.6000000000 -9.0578892984 1.6734917423 -7.3843975561 10.5578892984 -2.8290881109 7.7288011875
2.5500000000 -9.0287621696 1.6507165968 -7.3780455728 10.5287621696 -2.8478588681 7.6809033015
2.5000000000 -8.9990582287 1.6266519960 -7.3724062327 10.4990582287 -2.8668145769 7.6322436518
2.4500000000 -8.9687541677 1.6012081360 -7.3675460318 10.4687541677 -2.8867237001 7.5820304676
2.4000000000 -8.9378252369 1.5742871838 -7.3635380530 10.4378252369 -2.9068753150 7.5309499219
2.3500000000 -8.9062451231 1.5457823843 -7.3604627388 10.4062451231 -2.9272768047 7.4789683184
2.3000000000 -8.8739858153 1.5155770453 -7.3584087700 10.3739858153 -2.9485938074 7.4253920079
2.2500000000 -8.8410174552 1.4835433841 -7.3574740711 10.3410174552 -2.9701632662 7.3708541890
2.2000000000 -8.8073081714 1.4495412118 -7.3577669597 10.3073081714 -2.9931603951 7.3141477763
2.1500000000 -8.7728238941 1.4134164274 -7.3594074667 10.2728238941 -3.0165478780 7.2562760161
2.1000000000 -8.7375281480 1.3749992912 -7.3625288568 10.2375281480 -3.0406424023 7.1968857457
2.0500000000 -8.7013818206 1.3341024372 -7.3672793834 10.2013818206 -3.0653779090 7.1360039116
2.0000000000 -8.6643429017 1.2905185788 -7.3738243229 10.1643429017 -3.0906937252 7.0736491765
1.9500000000 -8.6263661897 1.2440178508 -7.3823483389 10.1263661897 -3.1173085767 7.0090576131
1.9000000000 -8.5874029601 1.1943447205 -7.3930582396 10.0874029601 -3.1447969383 6.9426060219
1.8500000000 -8.5474005895 1.1412143825 -7.4061862070 10.0474005895 -3.1733497152 6.8740508743
1.8000000000 -8.5063021282 1.0843085369 -7.4219935913 10.0063021282 -3.2031877919 6.8031143363
1.7500000000 -8.4640458128 1.0232704239 -7.4407753889 9.9640458128 -3.2335514869 6.7304943259
1.7000000000 -8.4205645075 0.9576989576 -7.4628655499 9.9205645075 -3.2657662276 6.6547982799
1.6500000000 -8.3757850627 0.8871417664 -7.4886432964 9.8757850627 -3.2987628875 6.5770221753
1.6000000000 -8.3296275747 0.8110868941 -7.5185406807 9.8296275747 -3.3338910441 6.4957365307
1.5500000000 -8.2820045273 0.7289528536 -7.5530516736 9.7820045273 -3.3694298789 6.4125746484
1.5000000000 -8.2328197930 0.6400766427 -7.5927431503 9.7328197930 -3.4077464290 6.3250733640
1.4500000000 -8.1819674655 0.5436992187 -7.6382682468 9.6819674655 -3.4472242839 6.2347431817
1.4000000000 -8.1293304858 0.4389477868 -7.6903826990 9.6293304858 -3.4883201704 6.1410103154
1.3500000000 -8.0747790195 0.3248140601 -7.7499649594 9.5747790195 -3.5321081420 6.0426708776
1.3000000000 -8.0181685276 0.2001273872 -7.8180411403 9.5181685276 -3.5772950849 5.9408734426
1.2500000000 -7.9593374578 0.0635212858 -7.8958161721 9.4593374578 -3.6255863855 5.8337510724
1.2000000000 -7.8981044661 -0.0866085743 -7.9847130404 9.3981044661 -3.6763115768 5.7217928893
1.1500000000 -7.8342650444 -0.2521575842 -8.0864226286 9.3342650444 -3.7299121335 5.6043529110
1.1000000000 -7.7675874006 -0.4353802263 -8.2029676269 9.2675874006 -3.7875304511 5.4800569495
1.0500000000 -7.6978073771 -0.6389779401 -8.3367853173 9.1978073771 -3.8482477746 5.3495596025
1.0000000000 -7.6246221309 -0.8662138744 -8.4908360053 9.1246221309 -3.9126354220 5.2119867089
0.9500000000 -7.5476821893 -1.1210645826 -8.6687467719 9.0476821893 -3.9817848204 5.0658973689
0.9000000000 -7.4665813574 -1.4084232432 -8.8750046006 8.9665813574 -4.0564504479 4.9101309095
