# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
4.2000000000 -10.6527176562 1.0101870917 -9.6425305645 12.1527176562 -1.3949698813 10.7577477748
4.1500000000 -10.6347533696 1.0055893730 -9.6291639966 12.1347533696 -1.3998088274 10.7349445421
4.1000000000 -10.6165713288 1.0008216005 -9.6157497283 12.1165713288 -1.4048796497 10.7116916791
4.0500000000 -10.5981661899 0.9958764724 -9.6022897175 12.0981661899 -1.4102617194 10.6879044705
4.0000000000 -10.5795324099 0.9907462918 -9.5887861181 12.0795324099 -1.4152930588 10.6642393511
3.9500000000 -10.5606642366 0.9854229400 -9.5752412966 12.0606642366 -1.4205386439 10.6401255927
3.9000000000 -10.5415556979 0.9798978483 -9.5616578496 12.0415556979 -1.4260880734 10.6154676246
3.8500000000 -10.5222005907 0.9741619674 -9.5480386233 12.0222005907 -1.4313385771 10.5908620136
3.8000000000 -10.5025924683 0.9682057340 -9.5343867343 12.0025924683 -1.4368139035 10.5657785648
3.7500000000 -10.4827246282 0.9620190349 -9.5207055933 11.9827246282 -1.4430062471 10.5397183811
3.7000000000 -10.4625900977 0.9555911680 -9.5069989297 11.9625900977 -1.4487112867 10.5138788110
3.6500000000 -10.4421816196 0.9489107999 -9.4932708197 11.9421816196 -1.4546412092 10.4875404104
3.6000000000 -10.4214916364 0.9419659201 -9.4795257163 11.9214916364 -1.4599120609 10.4615795756
3.5500000000 -10.4005122735 0.9347437910 -9.4657684825 11.9005122735 -1.4652845303 10.4352277432
3.5000000000 -10.3792353210 0.9272308933 -9.4520044277 11.8792353210 -1.4714428219 10.4077924991
3.4500000000 -10.3576522148 0.9194128670 -9.4382393478 11.8576522148 -1.4780099315 10.3796422833
3.4000000000 -10.3357540157 0.9112744466 -9.4244795691 11.8357540157 -1.4849312038 10.3508228119
3.3500000000 -10.3135313870 0.9027993902 -9.4107319967 11.8135313870 -1.4912940270 10.3222373600
3.3000000000 -10.2909745709 0.8939704027 -9.3970041682 11.7909745709 -1.4986177783 10.2923567926
3.2500000000 -10.2680733627 0.8847690506 -9.3833043122 11.7680733627 -1.5049661146 10.2631072481
3.2000000000 -10.2448170829 0.8751756694 -9.3696414135 11.7448170829 -1.5117521521 10.2330649308
3.1500000000 -10.2211945475 0.8651692617 -9.3560252857 11.7211945475 -1.5185701321 10.2026244154
3.1000000000 -10.1971940355 0.8547273850 -9.3424666504 11.6971940355 -1.5252998058 10.1718942297
3.0500000000 -10.1728032541 0.8438260280 -9.3289772261 11.6728032541 -1.5329659551 10.1398372990
3.0000000000 -10.1480093012 0.8324394746 -9.3155698267 11.6480093012 -1.5403328830 10.1076764182
2.9500000000 -10.1227986237 0.8205401532 -9.3022584706 11.6227986237 -1.5476958477 10.0751027760
2.9000000000 -10.0971569737 0.8080984704 -9.2890585033 11.5971569737 -1.5561686792 10.0409882945
2.8500000000 -10.0710693596 0.7950826263 -9.2759867334 11.5710693596 -1.5641611159 10.0069082437
2.8000000000 -10.0445199940 0.7814584094 -9.2630615846 11.5445199940 -1.5723871472 9.9721328468
2.7500000000 -10.0174922357 0.7671889692 -9.2503032666 11.5174922357 -1.5805272238 9.9369650119
2.7000000000 -9.9899685277 0.7522345615 -9.2377339662 11.4899685277 -1.5890646131 9.9009039146
2.6500000000 -9.9619303282 0.7365522658 -9.2253780624 11.4619303282 -1.5976823515 9.8642479767
2.6000000000 -9.9333580358 0.7200956674 -9.2132623684 11.4333580358 -1.6068826228 9.8264754129
2.5500000000 -9.9042309070 0.7028145025 -9.2014164044 11.4042309070 -1.6155217811 9.7887091259
2.5000000000 -9.8745269660 0.6846542590 -9.1898727070 11.3745269660 -1.6256372645 9.7488897015
2.4500000000 -9.8442229051 0.6655557268 -9.1786671783 11.3442229051 -1.6352233425 9.7089995626
2.4000000000 -9.8132939743 0.6454544911 -9.1678394832 11.3132939743 -1.6450499467 9.6682440275
2.3500000000 -9.7817138605 0.6242803590 -9.1574335015 11.2817138605 -1.6552168531 9.6264970074
2.3000000000 -9.7494545526 0.6019567094 -9.1474978432 11.2494545526 -1.6655947981 9.5838597545
2.2500000000 -9.7164861925 0.5783997544 -9.1380864382 11.2164861925 -1.6765571527 9.5399290399
2.2000000000 -9.6827769088 0.5535176965 -9.1292592123 11.1827769088 -1.6872168418 9.4955600669
2.1500000000 -9.6482926314 0.5272097671 -9.1210828643 11.1482926314 -1.6985974335 9.4496951980
2.1000000000 -9.6129968853 0.4993651226 -9.1136317627 11.1129968853 -1.7100943164 9.4029025689
2.0500000000 -9.5768505579 0.4698615761 -9.1069889818 11.0768505579 -1.7229979966 9.3538525613
2.0000000000 -9.5398116391 0.4385641346 -9.1012475044 11.0398116391 -1.7340587165 9.3057529226
1.9500000000 -9.5018349271 0.4053233052 -9.0965116219 11.0018349271 -1.7473771616 9.2544577655
1.9000000000 -9.4628716975 0.3699731286 -9.0928985689 10.9628716975 -1.7604978209 9.2023738766
1.8500000000 -9.4228693269 0.3323288863 -9.0905404405 10.9228693269 -1.7736039056 9.1492654212
1.8000000000 -9.3817708656 0.2921844180 -9.0895864476 10.8817708656 -1.7880221927 9.0937486729
1.7500000000 -9.3395145501 0.2493089677 -9.0902055824 10.8395145501 -1.8022678489 9.0372467012
1.7000000000 -9.2960332448 0.2034434639 -9.0925897809 10.7960332448 -1.8177055394 8.9783277054
1.6500000000 -9.2512538001 0.1542961073 -9.0969576928 10.7512538001 -1.8326523659 8.9186014342
1.6000000000 -9.2050963121 0.1015371159 -9.1035591962 10.7050963121 -1.8489536829 8.8561426292
1.5500000000 -9.1574732646 0.0447924319 -9.1126808328 10.6574732646 -1.8668046130 8.7906686516
1.5000000000 -9.1082885304 -0.0163638541 -9.1246523844 10.6082885304 -1.8829881239 8.7253004064
1.4500000000 -9.0574362029 -0.0824186762 -9.1398548791 10.5574362029 -1.9006964534 8.6567397495
1.4000000000 -9.0047992232 -0.1539311702 -9.1587303934 10.5047992232 -1.9201175010 8.5846817222
1.3500000000 -8.9502477569 -0.2315463784 -9.1817941353 10.4502477569 -1.9402144128 8.5100333441
1.3000000000 -8.8936372649 -0.3160121754 -9.2096494404 10.3936372649 -1.9608317173 8.4328055476
1.2500000000 -8.8348061952 -0.4082003279 -9.2430065231 10.3348061952 -1.9824573006 8.3523488946
1.2000000000 -8.7735732034 -0.5091329100 -9.2827061134 10.2735732034 -2.0048660363 8.2687071671
1.1500000000 -8.7097337818 -0.6200157272 -9.3297495090 10.2097337818 -2.0283114920 8.1814222898
1.1000000000 -8.6430561379 -0.7422810064 -9.3853371443 10.1430561379 -2.0535309411 8.0895251968
