# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
1.6000000000 -8.3296275747 0.9635933603 -7.3660342144 9.8296275747 -3.4662435669 6.3633840079
1.5500000000 -8.2820045273 0.8821924616 -7.3998120656 9.7820045273 -3.5047555838 6.2772489435
1.5000000000 -8.2328197930 0.7940382823 -7.4387815107 9.7328197930 -3.5446842813 6.1881355117
1.4500000000 -8.1819674655 0.6983677140 -7.4835997515 9.6819674655 -3.5863624872 6.0956049783
1.4000000000 -8.1293304858 0.5943030638 -7.5350274220 9.6293304858 -3.6301977665 5.9991327193
1.3500000000 -8.0747790195 0.4808301274 -7.5939488922 9.5747790195 -3.6761819069 5.8985971126
1.3000000000 -8.0181685276 0.3567710830 -7.6613974446 9.5181685276 -3.7243411092 5.7938274184
1.2500000000 -7.9593374578 0.2207507266 -7.7385867313 9.4593374578 -3.7757357661 5.6836016917
1.2000000000 -7.8981044661 0.0711540744 -7.8269503917 9.3981044661 -3.8290789451 5.5690255210
1.1500000000 -7.8342650444 -0.0939273417 -7.9281923861 9.3342650444 -3.8866834180 5.4475816264
1.1000000000 -7.7675874006 -0.2767641442 -8.0443515448 9.2675874006 -3.9467107978 5.3208766028
1.0500000000 -7.6978073771 -0.4800778177 -8.1778851948 9.1978073771 -4.0115732160 5.1862341611
1.0000000000 -7.6246221309 -0.7071565791 -8.3317787100 9.1246221309 -4.0799322842 5.0446898467
0.9500000000 -7.5476821893 -0.9620085793 -8.5096907686 9.0476821893 -4.1540497660 4.8936324233
0.9000000000 -7.4665813574 -1.2495671764 -8.7161485338 8.9665813574 -4.2316967389 4.7348846185
0.8500000000 -7.3808437366 -1.5759700463 -8.9568137829 8.8808437366 -4.3179785531 4.5628651835
0.8000000000 -7.2899068039 -1.9489449092 -9.2388517131 8.7899068039 -4.4097227078 4.3801840961
0.7500000000 -7.1930990222 -2.3783523405 -9.5714513627 8.6930990222 -4.5109843979 4.1821146243
0.7000000000 -7.0896097150 -2.8769653009 -9.9665750158 8.5896097150 -4.6205470175 3.9690626974
0.6500000000 -6.9784477567 -3.4616145818 -10.4400623385 8.4784477567 -4.7414114611 3.7370362956
0.6000000000 -6.8583836952 -4.1549164295 -11.0133001247 8.3583836952 -4.8743786424 3.4840050529
