# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
3.4000000000 -9.2371417270 3.8901738578 -5.3469678691 10.7371417270 -3.8230407457 6.9141009813
3.3500000000 -9.2149190983 3.8910786493 -5.3238404490 10.7149190983 -3.8445812259 6.8703378724
3.3000000000 -9.1923622823 3.8916928040 -5.3006694783 10.6923622823 -3.8656670851 6.8266951972
3.2500000000 -9.1694610741 3.8919960360 -5.2774650380 10.6694610741 -3.8886652215 6.7807958526
3.2000000000 -9.1462047943 3.8919665334 -5.2542382608 10.6462047943 -3.9112682045 6.7349365898
3.1500000000 -9.1225822588 3.8915808225 -5.2310014363 10.6225822588 -3.9345577060 6.6880245528
3.1000000000 -9.0985817468 3.8908136189 -5.2077681279 10.5985817468 -3.9584667118 6.6401150350
3.0500000000 -9.0741909655 3.8896376626 -5.1845533029 10.5741909655 -3.9826668455 6.5915241200
3.0000000000 -9.0493970126 3.8880235351 -5.1613734774 10.5493970126 -4.0071741985 6.5422228141
2.9500000000 -9.0241863351 3.8859394569 -5.1382468782 10.5241863351 -4.0330601251 6.4911262100
2.9000000000 -8.9985446850 3.8833510622 -5.1151936228 10.4985446850 -4.0597676821 6.4387770030
2.8500000000 -8.9724570710 3.8802211488 -5.0922359222 10.4724570710 -4.0863022881 6.3861547829
2.8000000000 -8.9459077053 3.8765093984 -5.0693983070 10.4459077053 -4.1133549642 6.3325527411
2.7500000000 -8.9188799471 3.8721720653 -5.0467078818 10.4188799471 -4.1422610378 6.2766189093
2.7000000000 -8.8913562391 3.8671616277 -5.0241946114 10.3913562391 -4.1705524008 6.2208038383
2.6500000000 -8.8633180396 3.8614263968 -5.0018916428 10.3633180396 -4.2001887998 6.1631292397
2.6000000000 -8.8347457471 3.8549100780 -4.9798356691 10.3347457471 -4.2306894833 6.1040562638
2.5500000000 -8.8056186183 3.8475512775 -4.9580673408 10.3056186183 -4.2619925939 6.0436260244
2.5000000000 -8.7759146774 3.8392829453 -4.9366317321 10.2759146774 -4.2950197004 5.9808949769
